bookID,average_rating,isbn,isbn13,language_code,No_of_pages,ratings_count,text_reviews_count
386,3.78,393329402,9.78E+12,eng,347,9053,907
394,4.13,671867423,9.78E+12,en-US,317,119,14
397,4.53,395883970,9.78E+12,eng,32,4967,69
399,3.92,684848155,9.78E+12,eng,827,1471,170
400,3.99,140156046,9.78E+12,eng,480,11361,533
402,3.68,140152741,9.78E+12,eng,254,8085,411
403,3.43,140119485,9.78E+12,eng,377,367,54
404,3.42,679722947,9.78E+12,eng,256,1285,70
406,3.22,743244257,9.78E+12,eng,224,449,40
407,3.48,140179178,9.78E+12,eng,272,2385,137
408,3.64,679722955,9.78E+12,eng,339,2990,201
411,3.7,60931671,9.78E+12,eng,152,2132,229
412,4.02,140283382,9.78E+12,eng,784,752,211
413,4.06,312423209,9.78E+12,eng,773,7756,570
414,3.68,141180633,9.78E+12,en-US,385,668,64
415,4.02,143039946,9.78E+12,eng,776,28034,2058
416,3.5,316724432,9.78E+12,eng,193,322,32
418,3.81,140189300,9.78E+12,eng,352,2356,215
421,4.17,374522219,9.78E+12,eng,222,10584,651
422,3.8,679754865,9.78E+12,eng,272,2790,238
423,3.86,679752862,9.78E+12,eng,240,2665,282
